Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,33.9375,65.3,0,top
C2,100n,C_0402_1005Metric,22.185,58.67,180,top
C3,15p,C_0402_1005Metric,24.625,31.08,180,top
C4,15p,C_0402_1005Metric,27.595,31.08,0,top
C5,10u,C_0805_2012Metric,35.025,52.5,0,top
C6,4.7u,C_0402_1005Metric_small_pads,29,47.55,0,top
C7,4.7u,C_0402_1005Metric_small_pads,29,48.5,0,top
C8,100n,C_0402_1005Metric,18,41.7,180,top
C9,4.7u,C_0402_1005Metric,31.2,48,-90,top
C10,4.7u,C_0402_1005Metric,27.4,33.2,-90,top
C11,100n,C_0402_1005Metric,34,42,0,top
C12,100n,C_0402_1005Metric,25,50.3,90,top
C13,100n,C_0402_1005Metric,24.7,33.2,-90,top
C14,100n,C_0402_1005Metric,20.2,49.6,180,top
C15,100n,C_0402_1005Metric,18,44.4,180,top
C16,100n,C_0402_1005Metric,34.005,41,0,top
C17,100n,C_0402_1005Metric,18,39.3,180,top
C18,100n,C_0402_1005Metric,33.5,37,0,top
C19,10u,C_0805_2012Metric,11.115,63.5,0,top
C20,100n,C_0402_1005Metric,33.5,45.8,0,top
C21,100n,C_0402_1005Metric,21.3,34.8,180,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,25.975,68.665,180,top
J4,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,36.9,13.7,0,top
L1,3.3u,L_pol_2016,29,50.15,0,top
R1,10k,R_0402_1005Metric,18.4,59.2,-90,top
R2,1k,R_0402_1005Metric,26.2,33.195,-90,top
R3,33,R_0402_1005Metric,31.2,49.85,-90,top
R4,1k,R_0402_1005Metric,34.1,27.8,-90,top
R6,1k,R_0402_1005Metric,14.6,60.1,0,top
R7,27,R_0402_1005Metric,26,50.3,-90,top
R8,27,R_0402_1005Metric,27,50.3,-90,top
R9,0,R_0402_1005Metric,16.9,59.2,-90,top
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,17.2,66.3,-90,top
SW2,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,36.725,27.9,90,top
U1,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,26,41.5,0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,34,59.15,-90,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,19,54.3,0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,26,27.5,0,top
