Designator,Comment,LCSC PN,Footprint
"C1,C5,C19",10u,C15850,Capacitor_SMD:C_0805_2012Metric
"C2,C8,C11,C12,C13,C14,C15,C16,C17,C18,C20,C21",100n,C16193311,Capacitor_SMD:C_0402_1005Metric
"C3,C4",15p,C307341,Capacitor_SMD:C_0402_1005Metric
"C6,C7,C9,C10",4.7u,C368809,Capacitor_SMD:C_0402_1005Metric
J1,USB_B_Micro,C428495,Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal
J4,SM03B-SRSS-TB,C160403,Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal
L1,3.3u,C42411119,RP2350_80QFN_minimal:L_pol_2016
R1,10k,C25744,Resistor_SMD:R_0402_1005Metric
"R2,R4,R6",1k,C11702,Resistor_SMD:R_0402_1005Metric
R3,33,C25105,Resistor_SMD:R_0402_1005Metric
"R7,R8",27,C138021,Resistor_SMD:R_0402_1005Metric
R9,0,C17168,Resistor_SMD:R_0402_1005Metric
"SW1,SW2",SW_Push,C115360,Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816
U1,RP2350_80QFN,C39843328,RP2350_80QFN_minimal:RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias
U2,NCP1117-3.3_SOT223,C26537,Package_TO_SOT_SMD:SOT-223-3_TabPin2
U3,W25Q128JVS,C97521,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm
Y1,ABM8-272-T3,C20625731,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm
