Designator,Mid X,Mid Y,Rotation,Layer
C1,34.3375,62.05,0.0,top
C10,27.4,33.2,270.0,top
C11,34.0,42.0,0.0,top
C12,25.0,50.3,90.0,top
C13,24.7,33.2,270.0,top
C14,20.2,49.6,180.0,top
C15,18.0,44.4,180.0,top
C16,34.005,41.0,0.0,top
C17,18.0,39.3,180.0,top
C18,33.5,37.0,0.0,top
C19,11.115,63.5,0.0,top
C2,22.2,57.7,180.0,top
C20,33.5,45.8,0.0,top
C21,21.3,34.8,180.0,top
C3,24.625,31.08,180.0,top
C4,27.595,31.08,0.0,top
C5,35.375,49.1,0.0,top
C6,29.0,47.55,0.0,top
C7,29.0,48.5,0.0,top
C8,18.0,41.7,180.0,top
C9,31.2,48.0,270.0,top
J4,36.9,13.7,0.0,top
J5,25.0,69.25,180.0,top
L1,29.0,50.15,0.0,top
R1,18.4,59.2,270.0,top
R12,29.0,61.45,90.0,top
R2,26.2,33.195,270.0,top
R3,31.2,49.85,270.0,top
R4,34.1,27.8,270.0,top
R5,21.0,61.45,90.0,top
R6,14.6,60.1,0.0,top
R7,26.0,50.3,270.0,top
R8,27.0,50.3,270.0,top
R9,16.9,59.2,270.0,top
SW1,17.2,66.3,270.0,top
SW2,36.725,27.9,90.0,top
U1,26.0,41.5,0.0,top
U2,34.4,55.9,90.0,top
U3,19.0,54.3,270.0,top
U5,25.0,61.25,90.0,top
Y1,26.0,27.5,0.0,top
